"","title","publishedAt","site"
"305","Senator: I rarely see something this gross","2018-05-10T23:07:39Z","cnn"
"306","White House aide joked of 'dying' McCain","2018-05-10T23:05:48Z","cnn"
"307","R. Kelly's reputation has long been tainted by sex crime allegations. Now, he finds his career under siege","2018-05-10T22:55:13Z","cnn"
"308","Trump blew up on homeland security chief over border security","2018-05-10T22:49:33Z","cnn"
"309","Trump to project party unity at Indiana rally","2018-05-10T22:48:41Z","cnn"
"310","An emotional call to eradicate ancient cousin of HIV","2018-05-10T22:31:14Z","cnn"
"311","President Trump hosts Indiana rally","2018-05-10T22:30:52Z","cnn"
"312","Four men charged with hate crimes in beatings after pride parade","2018-05-10T22:28:05Z","cnn"
"313","Prom isn't a fantasy, it's a reflection of our (racist) reality","2018-05-10T22:22:09Z","cnn"
"314","Fox Business guest: Torture worked on McCain","2018-05-10T22:19:23Z","cnn"
"315","68% of flight attendants have been sexually harassed, survey says","2018-05-10T22:18:14Z","cnn"
"316","Lava quickly swallowed his Ford Mustang. But he's more upset about his destroyed R2-D2 mailbox","2018-05-10T22:16:58Z","cnn"
"317","Fox military analyst smears McCain's war record - CNN Video","2018-05-10T22:12:10Z","cnn"
"318","Suspected Golden State Killer faces more murder charges","2018-05-10T21:52:38Z","cnn"
"319","CNN10 - 05/11/18","2018-05-10T21:52:15Z","cnn"
"320","2018 Atlantic Hurricane Season Fast Facts","2018-05-10T21:48:55Z","cnn"
"321","Skeletal remains recovered near Hart family crash site","2018-05-10T21:41:57Z","cnn"
"322","Trump travels to the Indiana city some say Obama's economy helped save","2018-05-10T21:34:42Z","cnn"
"323","Feds say Baltimore police commissioner did not file taxes","2018-05-10T21:22:25Z","cnn"
"324","Video shows officer choking man","2018-05-10T21:14:31Z","cnn"
"325","Giuliani flip-flops on presidential testimony","2018-05-10T21:10:47Z","cnn"
"326","Why Donald Trump talked about 'ratings' standing next to 3 recently freed prisoners","2018-05-10T21:00:46Z","cnn"
"327","Harris says she'll back Booker's legislation to legalize marijuana","2018-05-10T20:59:58Z","cnn"
"328","Giuliani flip-flops on presidential testimony","2018-05-10T20:58:34Z","cnn"
"329","Giuliani: Lawyers paying hush money on their own is common. His former law firm: No way.","2018-05-10T20:56:21Z","cnn"
"330","US apologized after Canadian minister was asked to remove turban","2018-05-10T20:56:16Z","cnn"
"331","First Ebola death, 11 additional cases confirmed in Congo - CNN","2018-05-10T20:56:00Z","cnn"
"332","Aaron Sorkin's 'To Kill A Mockingbird' adaptation cleared for Broadway","2018-05-10T20:46:55Z","cnn"
"333","Nurse charged in the death of H.R. McMaster's father","2018-05-10T20:34:32Z","cnn"
"334","Who has signed the DACA discharge petition","2018-05-10T20:34:17Z","cnn"
"335","Trump misleads about military pay raises","2018-05-10T20:31:07Z","cnn"
"336","Trump supporters put up controversial sign","2018-05-10T20:30:24Z","cnn"
"337","'Queer Eye' subject who stole hearts re-marries","2018-05-10T20:29:29Z","cnn"
"338","Patients who can't afford medications are pinning their hopes on Trump","2018-05-10T20:13:11Z","cnn"
"339","Why 80% of American Muslims fast during Ramadan. (It's not about the food.)","2018-05-10T20:06:40Z","cnn"
"340","Thirty million reasons campaign finance laws are a joke","2018-05-10T19:44:27Z","cnn"
"341","The best things to do in Puerto Escondido, Mexico","2018-05-10T19:39:40Z","cnn"
"342","Malaysia Fast Facts","2018-05-10T19:31:39Z","cnn"
"343","Michael Cohen is a screwup as a fixer","2018-05-10T19:28:57Z","cnn"
"344","There's a simple reason why companies were willing to pay so much money to Michael Cohen","2018-05-10T19:28:45Z","cnn"
"345","These women have accused Trump of sexual harassment","2018-05-10T19:27:39Z","cnn"
"346","Women detail sexual allegations against Trump","2018-05-10T19:26:17Z","cnn"
"347","Report details failures in Niger mission","2018-05-10T19:23:13Z","cnn"
"348","Quickly catch up on the day's news","2018-05-10T19:21:45Z","cnn"
"349","Mahathir bin Mohamad Fast Facts","2018-05-10T19:21:36Z","cnn"
"350","Mattis pressed on Bolton's, Giuliani's support for regime change in Iran - CNN","2018-05-10T19:21:00Z","cnn"
"351","Wells Fargo owes $97 million to California workers","2018-05-10T19:11:50Z","cnn"
"352","Ryan backs Nunes in latest dispute with Justice Department","2018-05-10T19:10:54Z","cnn"
"353","Larry Nassar victims say Texas isn't seriously investigating Karolyi Ranch","2018-05-10T19:10:13Z","cnn"
"354","Gloves come off between Iran and Israel as world watches nervously","2018-05-10T19:06:21Z","cnn"
"355","Officer involved in former football player's violent arrest is fired","2018-05-10T18:49:05Z","cnn"
"356","#TBT: How the White House explained Comey's firing","2018-05-10T18:48:00Z","cnn"
"357","Diego Rivera painting becomes highest-priced Latin American art","2018-05-10T18:45:53Z","cnn"
"358","She stabbed her husband as he raped her. A court sentenced her to death","2018-05-10T18:37:50Z","cnn"
"359","The terrifying step Trump better not take on North Korea","2018-05-10T18:33:34Z","cnn"
"360","Giuliani says Trump's new legal team has not held lengthy prep for Mueller interview","2018-05-10T18:31:33Z","cnn"
"361","Lawsuit cites 'grave concerns' over government's handling of 'startup visas'","2018-05-10T18:30:50Z","cnn"
"362","This fun golf offshoot is helping traditional golf grow","2018-05-10T18:23:10Z","cnn"
"363","SpaceX is about to test its new rocket for astronauts","2018-05-10T18:18:01Z","cnn"
"364","From tourist to altruist, how a New Yorker embraced Vietnam","2018-05-10T18:14:39Z","cnn"
"365","Why Pence's one-sided bromance is dangerous","2018-05-10T18:07:25Z","cnn"
"366","Here, self-sufficiency starts with noodles","2018-05-10T18:03:43Z","cnn"
"367","Woman says she called police when black Airbnb guests didn't wave at her","2018-05-10T17:53:13Z","cnn"
"368","FDA cracks down on clinics marketing unapproved stem cell therapies","2018-05-10T17:30:49Z","cnn"
"369","Why you might want both a traditional 401(k) and a Roth","2018-05-10T17:24:16Z","cnn"
"370","Robin Knox-Johnston: The first man to sail non-stop solo around the world","2018-05-10T17:15:51Z","cnn"
"371","Grassley cites midterms in plea to Supreme Court justices to decide on retirement","2018-05-10T17:14:56Z","cnn"
"372","Paul Ryan on plan to force vote on DACA bills: 'I don't want to have show ponies'","2018-05-10T17:01:14Z","cnn"
"373","You're a saver, but you married a spender","2018-05-10T16:55:34Z","cnn"
"374","What white folks need to ask themselves when 'while black' encounters go viral","2018-05-10T16:49:16Z","cnn"
"375","Giuliani says Trump 'wasn't aware' of Cohen pitch promising access","2018-05-10T16:41:37Z","cnn"
"376","Mirage on 34th Street? Macy's comeback faces challenges","2018-05-10T16:41:24Z","cnn"
"377","Volcanologist: Why Hawaii's volcano is in danger of going ballistic","2018-05-10T16:33:07Z","cnn"
"378","FEC approves NY candidate's request to use campaign funds for childcare","2018-05-10T16:31:27Z","cnn"
"379","Is Iran and Israel's confrontation the start of a fresh Middle East crisis?","2018-05-10T16:26:03Z","cnn"
"380","Bank of America: World oil price could hit $100 a barrel next year","2018-05-10T16:25:26Z","cnn"
"381","When will Ford run out of F-150s?","2018-05-10T16:25:21Z","cnn"
"382","6 places that will pay you to live there","2018-05-10T16:25:13Z","cnn"
"383","Wells Fargo may be stuck in the Fed's penalty box until 2019","2018-05-10T16:14:15Z","cnn"
"384","Volcanic ashes. Acid rain. And now massive boulders? All the calamities Hawaii is facing","2018-05-10T16:09:28Z","cnn"
"385","When an engine failed in mid-flight, the hero Southwest pilot thought, 'Oh, here we go'","2018-05-10T16:04:31Z","cnn"
"386","Military investigation finds series of failures led to deadly Niger ambush","2018-05-10T16:00:48Z","cnn"
"387","Chuck Schumer trolls Trump with Melania's #BeBest initiative","2018-05-10T15:58:34Z","cnn"
"388","Giuliani resigns from law firm amid legal work for Trump","2018-05-10T15:57:34Z","cnn"
"389","Victoria's Secret owner is the S&P 500's worst stock","2018-05-10T15:47:06Z","cnn"
"390","PACIFIC: Facebook's Nightmare, Revisited","2018-05-10T15:45:50Z","cnn"
"391","Oh, it's on! New York and Tennessee towns both claim Long Island Iced Tea was created there","2018-05-10T15:42:29Z","cnn"
"392","A sign in Maryland tells liberals to get their guns if they try to impeach Trump","2018-05-10T15:41:39Z","cnn"
"393","The world is nervously watching as the gloves come off between Iran and Israel","2018-05-10T15:41:25Z","cnn"
"394","US has hundreds of troops in Niger. Here's why","2018-05-10T15:40:41Z","cnn"
"395","Net neutrality set to end on June 11","2018-05-10T15:28:12Z","cnn"
"396","See ocean waves give off eerie glow","2018-05-10T15:23:45Z","cnn"
"397","Amazon's Alexa is the biggest challenge for brands since the internet","2018-05-10T15:21:09Z","cnn"
"398","David Goodall tells CNN: I 'welcome' death","2018-05-10T15:10:35Z","cnn"
"399","Trump tweets 5 key ISIS leaders captured","2018-05-10T15:10:30Z","cnn"
"400","Donald Trump Jr. prepares for stepped up role in 2018 midterm elections","2018-05-10T15:07:45Z","cnn"
"401","'Breaking In' lets mom save the day","2018-05-10T15:07:11Z","cnn"
"402","Original Iron Man suit goes missing","2018-05-10T15:02:50Z","cnn"
"403","Ebola: Nigeria begins screening of travelers from high risk countries","2018-05-10T14:58:45Z","cnn"
"404","Donald Trump angers Scots after luxury golf resort bans Irn-Bru","2018-05-10T14:51:46Z","cnn"
"405","Trump announces North Korea summit will be in Singapore","2018-05-10T14:47:00Z","cnn"
"406","Trump's in his glory, and it's driving liberals nuts","2018-05-10T14:43:50Z","cnn"
"407","Graham to vote yes on Haspel, despite McCain's call for senators to vote no","2018-05-10T14:43:06Z","cnn"
"408","Is Hawaii safe to visit? Yes, if you check the air quality before you go","2018-05-10T14:35:08Z","cnn"
"409","Senators react to John McCain's rejection of Gina Haspel for CIA director","2018-05-10T14:35:01Z","cnn"
"410","Here's how lawmakers could force a DACA vote in the House","2018-05-10T14:32:16Z","cnn"
"411","Yale officers admonished the white student who called police on a napping black student","2018-05-10T14:28:54Z","cnn"
"412","The American Council on Exercise wants to help you become a personal trainer","2018-05-10T14:28:24Z","cnn"
"413","George Will just exposed Mike Pence's Faustian bargain","2018-05-10T14:24:05Z","cnn"
"414","Harvey Weinstein's estranged wife breaks her silence: 'It's a time for mourning'","2018-05-10T14:17:55Z","cnn"
"415","When is an annuity a good choice?","2018-05-10T14:10:33Z","cnn"
"416","Newly released Facebook ads show Russian trolls targeted Mexican-Americans after Trump election","2018-05-10T14:01:42Z","cnn"
"417","Magazine apologizes after Lewinsky says she was disinvited to event Bill Clinton attended","2018-05-10T14:01:01Z","cnn"
"418","Crete's Samaria Gorge reopens to visitors","2018-05-10T14:00:37Z","cnn"
"419","Dr. Dre loses trademark dispute to Dr. Drai","2018-05-10T13:51:58Z","cnn"
"420","Apple scraps plans for $1 billion Irish data center","2018-05-10T13:49:25Z","cnn"
"421","How this 'NCIS' actor's role mirrored real life","2018-05-10T13:42:01Z","cnn"
"422","Top Bluetooth speakers to buy for under $100","2018-05-10T13:39:18Z","cnn"
"423","A soldier lost her ear in a car accident. So the doctors grew her a new one -- on her forearm","2018-05-10T13:32:27Z","cnn"
"424","Mike Pence tells Mueller 'it's time to wrap it up'","2018-05-10T13:32:27Z","cnn"
"425","Body recovered from Florida pond after 'alligator attack'","2018-05-10T13:19:35Z","cnn"
"426","Etsy executive: Embracing ""opposing perspectives"" helps us innovate","2018-05-10T13:18:53Z","cnn"
"427","Haspel 'was not forthcoming' during confirmation hearing, Angus King says","2018-05-10T13:14:38Z","cnn"
"428","Backstreet Boys transform into Spice Girls","2018-05-10T13:09:01Z","cnn"
"429","Ford stops production of F-150 trucks","2018-05-10T13:08:14Z","cnn"
"430","ZTE is now center stage in the US-China trade fight","2018-05-10T13:06:44Z","cnn"
"431","Hamburg 2018: Harrie Smolders on top of the world","2018-05-10T12:42:39Z","cnn"
"432","Original 'Iron Man' suit goes missing","2018-05-10T12:23:41Z","cnn"
"433","In a tumultuous and triumphant year, women are dominating as college commencement speakers","2018-05-10T11:54:13Z","cnn"
"434","Meghan Markle wax statue arrives at Madame Tussauds","2018-05-10T11:33:44Z","cnn"
"435","Rolls-Royce reveals its first SUV","2018-05-10T11:31:50Z","cnn"
"436","Maryland Democratic gubernatorial candidate dies suddenly","2018-05-10T11:31:12Z","cnn"
"437","104-year-old scientist David Goodall takes own life at Swiss clinic","2018-05-10T11:03:11Z","cnn"
"438","Snøhetta's plan to build a home next to Edvard Munch's atelier in Norway","2018-05-10T10:51:30Z","cnn"
"439","History in the making","2018-05-10T10:34:24Z","cnn"
"440","Parents sue for $12M after teammates allegedly attack teen football player","2018-05-10T10:32:19Z","cnn"
"441","A family torn apart: Siblings fight to save their home after their parents are deported","2018-05-10T10:20:18Z","cnn"
"442","5 things for May 10: American detainees, Israel and Iran, and Hawaii eruptions","2018-05-10T10:13:33Z","cnn"
"443","Is the end near for MoviePass?","2018-05-10T10:09:47Z","cnn"
"444","The presidential approval rating that really matters for the midterm elections","2018-05-10T10:01:33Z","cnn"
"445","Former official: Donors define Pruitt's EPA policy","2018-05-10T09:46:02Z","cnn"
"446","CNN host slams Sanders over Cohen answers","2018-05-10T09:30:08Z","cnn"
"447","Cannabis dispensaries recommend products to pregnant women","2018-05-10T09:21:22Z","cnn"
"448","Explosive eruptions added to list of fears for Hawaii residents","2018-05-10T09:12:51Z","cnn"
"449","BT cuts 13,000 jobs; US inflation watch; Oil price surge","2018-05-10T08:54:23Z","cnn"
"450","At least 20 people are dead after dam bursts in Kenya","2018-05-10T08:44:47Z","cnn"
"451","Israel: Iranian forces fire rockets at Golan Heights","2018-05-10T08:24:24Z","cnn"
"452","CNN Poll: Three-quarters approve of Trump's plans to meet with Kim Jong Un","2018-05-10T08:01:59Z","cnn"
"453","Detainee: It feels like a dream to be home","2018-05-10T07:54:15Z","cnn"
"454","Late night roasts Cohen for Russian payment","2018-05-10T07:44:37Z","cnn"
"455","BT will slash 13,000 jobs and quit London HQ","2018-05-10T07:29:10Z","cnn"
"456","RBS to pay another $5 billion to settle DOJ toxic mortgages probe","2018-05-10T07:25:59Z","cnn"
"457","See Trump greet the three Americans","2018-05-10T07:14:03Z","cnn"
"458","President Donald Trump greets three Americans freed by North Korea","2018-05-10T07:03:47Z","cnn"
"459","Malaysia's Mahathir Mohamad set to become world's oldest leader","2018-05-10T06:05:23Z","cnn"
"460","Heroic Southwest pilot describes fatal flight","2018-05-10T05:32:29Z","cnn"
"461","Who is 'Dr. M,' Malaysia's new -- and old -- Prime Minister?","2018-05-10T04:49:16Z","cnn"
"462","Russian billionaire questioned about Cohen payments","2018-05-10T03:53:57Z","cnn"
"463","Ex-chief of Chinese insurer Anbang jailed for 18 years","2018-05-10T03:17:26Z","cnn"
"464","13 hours in North Korea: How US prisoners were released","2018-05-10T03:01:01Z","cnn"
"465","Jimmy Carter calls US exit from Iran nuclear deal 'serious mistake,' then talks health","2018-05-10T02:46:04Z","cnn"
"466","Democrats considering 8 cities for 2020 national convention","2018-05-10T02:40:57Z","cnn"
"467","Pompeo's 13 hours in North Korea","2018-05-10T02:22:58Z","cnn"
"468","Is there a bank fraud case against Michael Cohen? Lawyers aren't sure","2018-05-10T02:20:41Z","cnn"
"469","John McCain calls on Senate to reject CIA nominee Gina Haspel","2018-05-10T01:57:51Z","cnn"
"470","Why Hanoi's historic buildings are under threat from modernity","2018-05-10T01:53:25Z","cnn"
"471","Man accused of trying to hire hit man to kill black neighbor","2018-05-10T01:32:13Z","cnn"
"472","John Edwards Fast Facts","2018-05-10T01:16:14Z","cnn"
"473","As Texas officials investigate, Nassar survivors say they want Karolyis to face charges","2018-05-10T01:04:41Z","cnn"
"474","US firm linked to Russian oligarch scrubs its website","2018-05-10T01:00:17Z","cnn"
"475","Photo of Trump's lookalike goes viral","2018-05-10T00:34:53Z","cnn"
"476","Treasury inspector general opens review into whether Cohen bank records were leaked","2018-05-10T00:30:32Z","cnn"
"477","Trump signs executive order to make it easier for military spouses to get jobs","2018-05-10T00:28:05Z","cnn"
"478","The countries where 1 in 5 children are never breastfed","2018-05-10T00:16:10Z","cnn"
"479","Trump honors military spouses, mothers","2018-05-10T00:14:14Z","cnn"
"480","NTSB investigating emergency response to Tesla crash","2018-05-10T00:10:37Z","cnn"
"481","The new CNN poll has some actual good news for Republicans","2018-05-10T00:00:20Z","cnn"
"482","Trump: 'Everyone thinks' I deserve Nobel Prize","2018-05-09T23:43:13Z","cnn"
"483","Acosta presses Sanders on Russia","2018-05-09T23:16:51Z","cnn"
"484","Rockets fired at Israel from Syria, Israel says","2018-05-09T23:11:18Z","cnn"
"485","Trump's nuclear decision is bleak news for Americans held in Iran","2018-05-09T23:05:10Z","cnn"
"486","Trump's nuclear decision is bleak news for Americans held in Iran","2018-05-09T23:05:10Z","cnn"
"487","In 1924, explosions on Kilauea sent tons of rock flying. Will that happen again?","2018-05-09T23:01:17Z","cnn"
"488","Michael Cohen accuses Stormy Daniels' lawyer of circulating some false information","2018-05-09T22:54:41Z","cnn"
"489","Israel: Iranian forces fire rockets at Golan Heights","2018-05-09T22:53:30Z","cnn"
"490","Ex-prosecutor: Strangulation is a red flag, not 'role-play'","2018-05-09T22:35:09Z","cnn"
"491","Here's how senators say they'll vote on CIA director nominee Haspel","2018-05-09T22:34:04Z","cnn"
"492","Unbridled Trump storms the global stage","2018-05-09T22:31:01Z","cnn"
"493","Changes at CFPB's student loan division worry advocates","2018-05-09T22:25:02Z","cnn"
"494","Amazon shows off Alexa-filled homes of the future","2018-05-09T22:21:41Z","cnn"
"495","Sturm Ruger shareholders approve a gun violence study","2018-05-09T22:19:50Z","cnn"
"496","Are payments to Cohen just 'swampy,' or potentially illegal?","2018-05-09T22:15:21Z","cnn"
"497","Avenatti: White House must explain payments","2018-05-09T22:15:21Z","cnn"
"498","CNN10 - 05/10/18","2018-05-09T22:14:35Z","cnn"
"499","Ford suspends production of F-150 trucks","2018-05-09T22:13:32Z","cnn"
"500","Inside Michael Cohen's aggressive pitch promising access to Trump","2018-05-09T22:09:59Z","cnn"
"501","The recent history of American political prisoners released from Iran and North Korea","2018-05-09T22:03:42Z","cnn"
"502","King voting no on Trump's CIA director nominee","2018-05-09T21:55:57Z","cnn"
"503","Massive chocolate spill closes down highway","2018-05-09T21:55:14Z","cnn"
"504","Watch: Trump warns Iran, warms to North Korea","2018-05-09T21:54:31Z","cnn"
"505","A Texas school district is using billboards in Oklahoma to recruit teachers","2018-05-09T21:50:44Z","cnn"
"506","Salem executives pressured radio hosts to cover Trump more positively, emails show","2018-05-09T21:44:32Z","cnn"
"507","Former CIA official decries national 'amnesia' on interrogation - CNN Video","2018-05-09T21:43:42Z","cnn"
"508","Senate Democrats force vote to reinstate net neutrality","2018-05-09T21:42:02Z","cnn"
"509","Trump officials prepare for Singapore summit with North Korea","2018-05-09T21:41:31Z","cnn"
"510","Sen. Harris: Here's why I will vote against Haspel for CIA director - CNN Video","2018-05-09T21:41:11Z","cnn"
"511","Seattle companies voice opposition to proposed tax to fight homelessness","2018-05-09T21:38:26Z","cnn"
"512","Seattle companies voice opposition to proposed tax to fight homelessness","2018-05-09T21:38:26Z","cnn"
"513","If you're stopped by the NYPD an officer will now give you a business card in case you want the bodycam footage","2018-05-09T21:38:26Z","cnn"
"514","Mudd: This is collective amnesia","2018-05-09T21:27:22Z","cnn"
"515","Facebook executive shuffle highlights that men still run its big products","2018-05-09T21:20:26Z","cnn"
"516","America's most amazing hotel pools","2018-05-09T21:11:12Z","cnn"
"517","Devin Nunes invited for classified briefing at Justice Department on Russia matter","2018-05-09T21:04:50Z","cnn"
"518","What Gina Haspel didn't tell us at her high-stakes CIA hearing","2018-05-09T21:02:08Z","cnn"
"519","That photo of a professor holding a student's baby while he taught? It's not the first time he's done that","2018-05-09T20:59:18Z","cnn"
"520","Kamala Harris says she will vote against Gina Haspel","2018-05-09T20:56:39Z","cnn"
"521","Trump administration selects 10 cities to test drones","2018-05-09T20:53:01Z","cnn"
"522","Wall Street is back on the oil bandwagon","2018-05-09T20:46:20Z","cnn"
"523","Democratic Senators call for investigation into AT&T's Michael Cohen payments","2018-05-09T20:46:19Z","cnn"
"524","California Energy Commission approves plan requiring solar panels on new homes","2018-05-09T20:46:13Z","cnn"
"525","For Dems, 'blue wave' is now a trickle","2018-05-09T20:45:20Z","cnn"
"526","Prime Minister Najib Razak defeated as opposition claims victory in Malaysia","2018-05-09T20:43:11Z","cnn"
"527","News today: Trump; Gina Haspel; Matt Lauer","2018-05-09T20:38:36Z","cnn"
"528","10 of the world's best hotel spas from Switzerland to Indonesia","2018-05-09T20:33:49Z","cnn"
"529","Bioluminescent critters bathe Southern California surf in an aqua glow","2018-05-09T20:31:45Z","cnn"
"530","A black Yale graduate student took a nap in her dorm's common room. So a white student called police","2018-05-09T20:31:16Z","cnn"
"531","Double-digit gender gap on sexual harassment in 2018 vote","2018-05-09T20:29:58Z","cnn"
"532","'Short-term' EpiPen shortage, anticipates FDA","2018-05-09T20:29:48Z","cnn"
"533","Here's who might replace disgraced New York Attorney General Eric Schneiderman","2018-05-09T20:26:27Z","cnn"
"534","Sanders spars with reporter over access","2018-05-09T20:24:41Z","cnn"
"535","Unbridled Trump storms global stage","2018-05-09T20:14:27Z","cnn"
"536","A Utah teen called her mom to talk. Her mother heard a fatal attack begin","2018-05-09T20:11:11Z","cnn"
"537","Saudi Arabia set to pursue nuclear weapons if Iran restarts program - CNN","2018-05-09T20:10:00Z","cnn"
"538","P.S. Don Blankenship wasn't amused by Mitch McConnell's 'Narcos' tweet","2018-05-09T20:08:41Z","cnn"
"539","CNN House Key Race Alert: Four races move toward Democrats after Tuesday's primaries","2018-05-09T20:00:37Z","cnn"
"540","House panel advances bill to improve US prisons","2018-05-09T19:55:24Z","cnn"
"541","DHS reissues terror threat bulletin","2018-05-09T19:53:21Z","cnn"
"542","National Guard troops involved in 1,600 apprehensions at Mexican border","2018-05-09T19:52:31Z","cnn"
"543","How animals react to a solar eclipse","2018-05-09T19:34:23Z","cnn"
"544","MSNBC just gave Hugh Hewitt a verbal warning","2018-05-09T19:28:17Z","cnn"
"545","Ahead of US midterms, tech companies stumble in Irish abortion vote","2018-05-09T19:27:58Z","cnn"
"546","Manchin becomes first Democrat to say he'll vote for Gina Haspel","2018-05-09T19:18:56Z","cnn"
"547","Manchin becomes first Democrat to say he'll vote for Gina Haspel","2018-05-09T19:14:32Z","cnn"
"548","Deadly E. coli outbreak tied to romaine spreads","2018-05-09T19:11:51Z","cnn"
"549","CNN poll: Democrats' 2018 advantage is nearly gone","2018-05-09T19:08:45Z","cnn"
"550","Buy your tires on Amazon, install them at Sears","2018-05-09T19:03:58Z","cnn"
"551","A whirlwind 24 hours in Trump doctrine","2018-05-09T18:54:02Z","cnn"
"552","Dutch lawyer who pleaded guilty in Mueller probe serving sentence in Pennsylvania","2018-05-09T18:53:11Z","cnn"
"553","Donald Trump Jr. has a history of incorrectly suggesting Twitter is censoring or blocking tweets","2018-05-09T18:49:04Z","cnn"
"554","'Fortnite' is red hot, but EA and Activision are still thriving","2018-05-09T18:40:39Z","cnn"
"555","A year of the woman? Not so far","2018-05-09T18:31:16Z","cnn"
"556","Side effects include... a potential treatment for baldness - CNN","2018-05-09T18:24:03Z","cnn"
"557","BlackRock strategist: Don't worry, banks will continue to grow","2018-05-09T18:10:12Z","cnn"
"558","Kaine: Need accountability for Niger ambush","2018-05-09T17:58:14Z","cnn"
"559","The many ways Eric Schneiderman, alleged abuser, publicly promoted women's rights","2018-05-09T17:54:03Z","cnn"
"560","Israeli official: Trump made the right choice on Iran","2018-05-09T17:53:58Z","cnn"
"561","Progressive outrage about Gina Haspel is unfair","2018-05-09T17:37:47Z","cnn"
"562","Every investor should buy crypto, says digital currency index founder","2018-05-09T17:32:08Z","cnn"
"563","Harry Styles is getting into business with CBS","2018-05-09T17:30:19Z","cnn"
"564","Mitch McConnell boasts about Don Blankenship's loss in West Virginia GOP primary","2018-05-09T17:27:18Z","cnn"
"565","Video shows bizarre world on the ocean floor","2018-05-09T17:27:04Z","cnn"
"566","Nigeria's President Buhari under pressure to reveal illness","2018-05-09T17:20:37Z","cnn"
"567","Trump: 'Everyone thinks' I deserve Nobel Prize","2018-05-09T17:15:15Z","cnn"
"568","WaPo: Intel source tied to Mueller investigation caught up in DOJ, Nunes clash","2018-05-09T17:10:08Z","cnn"
"569","A luxury-tinged guide to Thailand's Railay Beach","2018-05-09T17:02:40Z","cnn"
"570","Kaine says US troops killed in Niger were on unauthorized mission","2018-05-09T17:01:58Z","cnn"
"571","Revealed: See what Meghan Markle's wax statues look like","2018-05-09T17:00:40Z","cnn"
"572","Higher gas prices could spoil Trump's tax cuts","2018-05-09T16:58:35Z","cnn"
"573","Ohio voters approve gerrymandering reform for US House seats","2018-05-09T16:57:08Z","cnn"
"574","The 16 best responses to my tweet about Hillary Clinton running for office again","2018-05-09T16:55:23Z","cnn"
"575","Why this rare asteroid was 'exiled' from our solar system - CNN","2018-05-09T16:50:12Z","cnn"
"576","US sanctions deal body blow to Iran's economy","2018-05-09T16:49:07Z","cnn"
"577","Democrats call on Trump to pull nomination of top Justice Department nominee with ties to Russian bank","2018-05-09T16:44:37Z","cnn"
"578","DHS terminations of protected status ignored diplomats' recommendations, report says","2018-05-09T16:44:11Z","cnn"
"579","Police search for 4 to 6 bodies at site where Michigan child killer buried teen","2018-05-09T16:36:49Z","cnn"
"580","Trump's latest shot at the press corps: 'Take away credentials?'","2018-05-09T16:32:41Z","cnn"
"581","11-year-old Meghan Markle fought sexist ad","2018-05-09T16:24:32Z","cnn"
"582","Trump warns Iran against restarting nuclear program","2018-05-09T16:20:15Z","cnn"
"583","Charles Rangel Fast Facts","2018-05-09T16:09:05Z","cnn"
"584","Trump rules out DMZ as location for North Korea summit","2018-05-09T16:04:13Z","cnn"
"585","Manchester United 'very positive' Sir Alex Ferguson will make full recovery, says Jose Mourinho","2018-05-09T16:03:01Z","cnn"
"586","Schlapp: Press shouldn't say President lies","2018-05-09T16:01:39Z","cnn"
"587","Match Group CEO doubts people will 'feel comfortable' using Facebook dating service","2018-05-09T16:01:00Z","cnn"
"588","Jada Smith on dating a married man","2018-05-09T16:00:18Z","cnn"
"589","Best Buy redesigned its logo","2018-05-09T15:57:56Z","cnn"
"590","Senator to Haspel: Where was your moral compass?","2018-05-09T15:54:25Z","cnn"
"591","Rapper Dr. Dre loses a trademark dispute with ob/gyn Dr. Drai","2018-05-09T15:48:43Z","cnn"
"592","Bobby Jindal Fast Facts","2018-05-09T15:37:36Z","cnn"
"593","PACIFIC: Walmart moves on Amazon","2018-05-09T15:32:14Z","cnn"
"594","Wide view: The world reacts to Trump's nuclear deal pull out","2018-05-09T15:28:56Z","cnn"
"595","Turkey's Erdogan calls Jerusalem US Embassy move 'huge mistake'","2018-05-09T15:24:27Z","cnn"
"596","President Trump meets with his Cabinet","2018-05-09T15:23:01Z","cnn"
"597","China's ZTE Corporation has ceased major operations, citing US ban","2018-05-09T15:20:49Z","cnn"
"598","Porsche offers computerized cruise control for twisty roads - CNNMoney","2018-05-09T15:14:15Z","cnn"
"599","Can Europe keep doing business with Iran?","2018-05-09T15:13:41Z","cnn"
"600","Royal wedding weather: an early look at the forecast","2018-05-09T15:13:13Z","cnn"
"601","Americans are drinking less Bud. The rest of the world loves it","2018-05-09T15:11:43Z","cnn"
"602","Uniqlo is entering India's booming retail market","2018-05-09T15:10:37Z","cnn"
"603","Connecticut legislators vote to ban bump stocks on firearms","2018-05-09T15:06:56Z","cnn"
"604","Venezuela's once-proud oil industry is collapsing","2018-05-09T15:05:09Z","cnn"
"605","Venezuela's once-proud oil industry is collapsing","2018-05-09T15:05:09Z","cnn"
"606","NBC internal report: Leadership did not know about Lauer behavior","2018-05-09T15:04:50Z","cnn"
"607","Winners and losers from Tuesday's primaries","2018-05-09T15:02:03Z","cnn"
"608","FX and New York Times partner for new series 'The Weekly'","2018-05-09T15:00:11Z","cnn"
"609","'Avengers' stars get matching tattoos","2018-05-09T14:57:53Z","cnn"
